UID,APPROPRIATENESS,CONTENT_RICHNESS,GRAMMATICAL_CORRECTNESS,RELEVANCE
TEST-000051-0018,1.0,4.0,3.0,4.0
TEST-000051-0019,4.0,4.0,4.5,4.0
TEST-000051-0020,1.0,3.0,2.0,4.0
TEST-000051-0021,2.5,4.0,4.5,4.0
TEST-000051-0022,1.0,1.0,3.5,1.0
TEST-000051-0023,4.0,4.0,4.5,4.5
TEST-000051-0024,2.5,4.5,3.5,4.0
TEST-000051-0025,4.75,4.5,5.0,4.5
TEST-000051-0026,4.75,4.0,4.5,4.5
TEST-000051-0027,4.25,4.0,4.5,4.5
TEST-000051-0028,3.75,4.0,5.0,4.0
TEST-000051-0029,4.75,4.0,4.5,4.5
TEST-000051-0030,2.5,3.0,4.5,4.0
TEST-000051-0031,3.75,4.0,4.5,4.0
TEST-000052-0001,4.5,4.0,4.5,4.0
TEST-000052-0002,4.0,0.5,4.5,5.0
TEST-000052-0003,3.5,4.0,4.5,4.5
TEST-000052-0004,3.5,3.0,1.0,2.0
TEST-000052-0005,4.5,4.0,0.8333333333333334,4.5
TEST-000052-0006,3.5,3.0,4.5,3.0
TEST-000052-0007,4.5,4.0,4.5,4.5
TEST-000052-0008,3.5,3.0,4.5,4.0
TEST-000052-0009,4.8,3.0,4.5,4.0
TEST-000052-0010,3.5,3.0,4.0,4.0
TEST-000052-0011,4.5,4.333333333333333,4.0,5.0
TEST-000052-0012,2.5,1.0,3.0,3.0
TEST-000052-0013,4.5,4.0,1.0,5.0
TEST-000052-0014,2.5,1.0,1.0,0.2
TEST-000052-0015,4.25,4.333333333333333,1.0,4.5
TEST-000052-0016,3.0,1.0,1.0,1.0
TEST-000052-0017,4.5,3.333333333333333,0.6666666666666666,0.0
TEST-000052-0018,3.0,1.0,0.0,0.0
TEST-000052-0019,3.5,4.5,0.0,0.0
TEST-000052-0020,3.0,1.0,0.0,0.0
TEST-000052-0021,3.5,4.333333333333333,0.0,0.0
TEST-000052-0022,2.5,0.0,0.0,0.0
TEST-000052-0023,4.5,4.333333333333333,4.0,4.5
TEST-000052-0024,3.5,4.333333333333333,0.6666666666666666,0.8333333333333333
TEST-000052-0025,4.5,4.333333333333333,1.0,1.0
TEST-000052-0026,2.5,1.0,0.0,0.0
TEST-000052-0027,4.5,4.333333333333333,0.8333333333333334,4.5
TEST-000052-0028,2.0,1.0,1.0,0.0
TEST-000052-0029,3.5,1.0,0.0,0.5
TEST-000053-0001,2.0,1.0,1.0,3.0
TEST-000054-0001,3.25,3.0,0.6,5.0
TEST-000054-0002,2.5,4.0,0.0,4.0
TEST-000054-0003,2.25,1.0,0.6,3.0
TEST-000054-0004,3.25,4.0,0.0,1.0
TEST-000054-0005,2.25,3.0,4.0,1.0
TEST-000054-0006,4.5,3.0,1.0,4.0
TEST-000054-0007,4.5,4.0,0.5,4.5
TEST-000054-0008,4.5,3.5,1.0,4.0
TEST-000054-0009,4.5,3.0,1.0,5.0
TEST-000054-0010,4.5,3.5,1.0,4.0
TEST-000054-0011,4.5,3.5,1.0,4.0
TEST-000054-0012,4.5,3.5,1.0,4.0
TEST-000054-0013,4.5,3.0,1.0,4.0
TEST-000054-0014,4.5,3.0,1.0,4.0
TEST-000054-0015,4.5,3.0,1.0,4.0
TEST-000054-0016,3.5,3.0,1.0,4.0
TEST-000054-0017,4.5,3.0,0.0,3.0
TEST-000054-0018,2.5,3.5,0.0,2.0
TEST-000054-0019,2.0,1.0,1.0,4.0
TEST-000054-0020,1.0,1.0,0.0,1.0
TEST-000054-0021,3.5,3.5,1.0,4.0
TEST-000054-0022,2.0,3.5,1.0,4.0
TEST-000054-0023,2.0,3.5,1.0,4.0
TEST-000054-0024,4.5,4.5,1.0,4.0
TEST-000054-0025,1.0,1.0,0.0,2.0
TEST-000054-0026,4.5,4.5,0.6666666666666666,4.5
TEST-000054-0027,2.0,3.5,0.0,2.0
TEST-000054-0028,3.5,3.5,1.0,4.166666666666667
TEST-000054-0029,2.0,3.5,1.0,2.0
TEST-000054-0030,2.0,4.5,1.0,4.0
TEST-000054-0031,3.0,1.0,1.0,5.0
TEST-000054-0032,2.0,3.5,1.0,3.0
TEST-000054-0033,3.5,3.5,1.0,4.0
TEST-000054-0034,3.5,4.0,0.6666666666666666,4.0
TEST-000054-0035,1.0,4.0,0.0,1.0
TEST-000054-0036,2.0,3.0,1.0,4.0
TEST-000054-0037,1.0,1.0,0.0,1.0
TEST-000054-0038,2.0,3.5,0.0,1.0
TEST-000054-0039,2.0,3.5,0.0,3.0
TEST-000054-0040,3.5,3.5,0.0,2.0
TEST-000054-0041,3.5,1.0,1.0,2.0
TEST-000054-0042,2.0,4.5,0.6666666666666666,2.0
TEST-000055-0001,2.0,2.0,2.0,1.0
TEST-000056-0001,4.75,4.0,4.5,4.5
TEST-000057-0001,4.75,4.5,4.5,4.5
TEST-000057-0002,2.5,2.0,4.5,3.0
TEST-000057-0003,4.75,3.0,4.5,4.5
TEST-000057-0004,1.0,1.0,1.0,1.0
TEST-000057-0005,4.75,4.0,4.75,1.0
TEST-000057-0006,2.5,1.0,4.0,1.0
TEST-000057-0007,4.75,3.0,0.6666666666666666,4.0
TEST-000057-0008,2.5,1.0,4.5,1.0
TEST-000057-0009,4.75,3.0,4.75,4.0
TEST-000057-0010,2.5,1.0,3.0,1.0
TEST-000057-0011,4.75,4.0,4.5,4.0
TEST-000057-0012,2.5,1.0,3.5,1.0
TEST-000057-0013,4.75,4.0,1.0,4.0
TEST-000057-0014,2.5,3.0,0.0,0.0
TEST-000057-0015,4.5,4.0,4.0,4.5
TEST-000057-0016,2.5,3.5,0.0,4.0
TEST-000057-0017,4.75,3.5,1.0,4.0
TEST-000057-0018,1.0,1.0,1.0,1.0
TEST-000057-0019,4.75,4.333333333333333,4.75,4.5
TEST-000057-0020,0.5,1.0,3.0,0.0
TEST-000057-0021,2.5,4.333333333333333,0.6666666666666666,4.5
TEST-000057-0022,2.5,4.0,3.5,4.0
TEST-000057-0023,4.75,4.333333333333333,4.0,4.0
TEST-000057-0024,3.75,4.5,0.0,4.0
TEST-000057-0025,4.75,4.0,4.0,4.5
TEST-000057-0026,2.5,1.0,0.0,0.0
TEST-000057-0027,4.75,4.5,1.0,4.5
TEST-000057-0028,4.5,4.5,1.0,4.0
TEST-000057-0029,4.75,4.333333333333333,1.0,4.5
TEST-000057-0030,3.75,4.5,0.0,4.5
TEST-000057-0031,4.5,4.0,1.0,4.5
TEST-000058-0001,2.0,2.0,1.0,1.0
TEST-000058-0002,3.75,4.0,0.6666666666666666,4.5
TEST-000058-0003,1.5,1.0,0.0,0.5
TEST-000059-0001,4.75,4.0,4.5,4.0
TEST-000060-0001,3.0,5.0,5.0,1.0
TEST-000060-0002,2.0,2.5,4.5,4.0
TEST-000060-0003,1.0,4.5,2.0,1.0
TEST-000060-0004,2.5,4.0,3.5,3.5
TEST-000060-0005,2.0,4.0,2.5,1.0
TEST-000060-0006,2.0,1.0,1.0,1.0
TEST-000060-0007,2.0,2.0,3.5,2.0
TEST-000060-0008,2.5,3.0,4.5,5.0
TEST-000060-0009,3.5,3.25,3.5,3.0
TEST-000060-0010,3.5,2.333333333333333,0.0,2.0
TEST-000060-0011,4.5,4.0,4.5,4.5
TEST-000060-0012,3.5,2.5,3.5,2.0
TEST-000060-0013,4.5,1.0,0.5,4.5
TEST-000060-0014,2.5,1.0,0.5,4.0
TEST-000060-0015,4.5,1.0,0.5,5.0
TEST-000060-0016,4.5,3.5,0.6666666666666666,4.5
TEST-000060-0017,2.0,2.0,3.5,1.0
TEST-000060-0018,2.5,4.25,3.5,1.0
TEST-000060-0019,4.0,1.0,1.0,2.0
TEST-000060-0020,3.5,3.5,0.6666666666666666,2.0
TEST-000060-0021,3.5,1.0,1.0,3.0
TEST-000060-0022,4.5,3.5,0.8,4.0
TEST-000060-0023,1.0,1.0,0.0,1.0
TEST-000060-0024,4.5,3.5,0.8,4.0
TEST-000060-0025,3.5,3.5,0.6666666666666666,4.0
TEST-000060-0026,3.5,3.5,0.6666666666666666,2.0
TEST-000060-0027,4.5,1.0,1.0,4.0
TEST-000060-0028,3.5,3.5,0.5,2.0
TEST-000060-0029,4.5,4.0,1.0,4.0
TEST-000060-0030,4.5,3.5,1.0,2.0
TEST-000060-0031,4.5,4.5,1.0,4.0
TEST-000060-0032,4.5,4.5,0.6666666666666666,4.0
TEST-000060-0033,2.5,1.0,1.0,1.0
TEST-000060-0034,3.5,3.5,0.0,4.0
TEST-000061-0001,3.5,2.0,4.0,2.0
TEST-000062-0001,1.0,1.0,3.0,4.0
TEST-000063-0001,3.5,3.0,4.5,5.0
TEST-000064-0001,3.5,4.25,4.5,4.5
TEST-000065-0001,4.5,4.5,4.75,4.5
TEST-000065-0002,1.0,4.5,1.0,1.0
TEST-000065-0003,4.25,4.0,4.5,4.0
TEST-000065-0004,1.0,1.0,2.5,1.0
TEST-000065-0005,4.5,4.0,5.0,1.0
TEST-000065-0006,1.0,4.0,4.0,1.0
TEST-000065-0007,4.5,4.0,4.5,4.0
TEST-000065-0008,2.0,4.666666666666667,4.5,2.0
TEST-000065-0009,4.5,4.0,4.5,4.0
TEST-000065-0010,3.0,1.0,3.5,1.0
TEST-000065-0011,3.5,3.5,4.5,3.5
TEST-000065-0012,3.0,1.0,3.0,1.0
TEST-000065-0013,3.75,4.0,4.5,1.0
TEST-000065-0014,3.0,2.0,3.0,1.0
TEST-000065-0015,4.5,4.0,4.5,1.0
TEST-000065-0016,3.0,1.0,3.0,1.0
TEST-000065-0017,5.0,2.0,5.0,2.0
TEST-000065-0018,3.0,1.0,3.0,0.0
TEST-000065-0019,1.5,4.0,4.5,1.0
TEST-000065-0020,1.0,2.0,2.0,1.0
TEST-000065-0021,5.0,4.5,4.75,5.0
TEST-000065-0022,3.0,2.5,3.0,0.0
TEST-000065-0023,4.75,4.0,4.5,5.0
TEST-000065-0024,1.0,2.0,1.0,1.0
TEST-000065-0025,4.25,4.0,4.5,2.5
TEST-000065-0026,1.5,2.0,3.0,1.0
TEST-000065-0027,4.25,4.0,4.5,4.25
TEST-000065-0028,1.0,2.0,2.0,1.0
TEST-000065-0029,4.5,2.0,4.5,2.0
TEST-000065-0030,3.5,2.5,3.0,2.0
TEST-000065-0031,4.25,3.0,4.5,5.0
TEST-000066-0001,2.5,3.0,4.5,3.0
TEST-000067-0001,4.75,1.0,5.0,5.0
TEST-000068-0001,2.25,1.0,0.2,1.0
TEST-000068-0002,1.0,1.0,0.5,1.0
TEST-000068-0003,2.0,1.0,1.0,2.0
TEST-000068-0004,4.5,1.0,1.0,3.0
TEST-000068-0005,2.0,1.0,1.0,2.0
TEST-000068-0006,3.5,1.0,0.0,4.5
TEST-000068-0007,2.5,1.0,0.0,2.0
TEST-000068-0008,4.5,3.5,0.5,4.0
TEST-000068-0009,1.0,1.0,0.5,1.0
TEST-000068-0010,3.75,3.5,0.6666666666666666,4.166666666666667
TEST-000068-0011,3.5,3.5,1.0,4.0
TEST-000068-0012,2.0,3.0,1.0,4.0
TEST-000068-0013,2.0,3.0,0.6666666666666666,3.0
TEST-000068-0014,2.0,4.5,0.6666666666666666,3.0
TEST-000068-0015,2.0,1.0,1.0,5.0
TEST-000068-0016,2.0,1.0,1.0,4.0
TEST-000068-0017,3.0,3.5,1.0,4.0
TEST-000068-0018,2.0,4.5,1.0,4.0
TEST-000068-0019,2.5,3.5,0.0,2.0
TEST-000068-0020,3.5,1.0,1.0,4.0
TEST-000068-0021,3.5,4.0,1.0,3.0
TEST-000068-0022,3.5,3.5,1.0,4.0
TEST-000068-0023,4.5,4.0,1.0,4.0
TEST-000068-0024,4.5,3.0,1.0,4.0
TEST-000068-0025,4.0,1.0,1.0,4.0
TEST-000068-0026,4.5,4.0,1.0,4.0
TEST-000068-0027,4.5,1.0,1.0,5.0
TEST-000068-0028,2.0,3.0,1.0,4.0
TEST-000068-0029,4.5,4.0,1.0,4.0
TEST-000068-0030,3.5,3.5,1.0,4.0
TEST-000069-0001,4.5,4.0,4.5,5.0
TEST-000069-0002,2.5,1.0,0.5,2.0
TEST-000069-0003,3.75,3.0,0.8,4.0
TEST-000069-0004,3.75,3.0,0.6666666666666666,3.0
TEST-000069-0005,1.5,1.0,0.0,1.0
TEST-000069-0006,4.0,4.0,0.6666666666666666,4.0
TEST-000069-0007,2.5,1.0,0.1666666666666666,1.0
TEST-000069-0008,2.0,4.0,0.0,1.0
TEST-000069-0009,4.0,1.0,1.0,1.0
TEST-000069-0010,2.5,3.5,0.6666666666666666,1.0
TEST-000069-0011,4.5,3.0,1.0,4.0
TEST-000069-0012,3.0,3.5,0.6666666666666666,4.0
TEST-000069-0013,5.0,1.0,1.0,5.0
TEST-000069-0014,2.0,3.5,0.6666666666666666,1.0
TEST-000069-0015,2.0,3.0,1.0,2.0
TEST-000069-0016,3.0,3.0,1.0,3.0
TEST-000069-0017,2.0,3.0,1.0,4.0
TEST-000069-0018,4.5,3.5,0.6666666666666666,4.5
TEST-000069-0019,1.0,1.0,0.0,1.0
TEST-000069-0020,4.5,2.5,1.0,4.0
TEST-000069-0021,3.5,1.0,1.0,4.0
TEST-000069-0022,3.5,1.0,0.5,2.0
TEST-000069-0023,4.5,1.0,1.0,2.0
TEST-000069-0024,3.5,2.0,0.5,3.0
TEST-000069-0025,4.5,2.0,1.0,4.0
TEST-000069-0026,1.0,4.5,0.0,4.0
TEST-000069-0027,4.5,4.5,1.0,4.0
TEST-000069-0028,3.5,2.0,0.6666666666666666,4.0
TEST-000069-0029,1.0,1.0,0.5,4.0
TEST-000069-0030,3.5,1.0,0.5,2.0
TEST-000069-0031,4.5,1.0,1.0,3.0
TEST-000069-0032,3.5,2.0,0.6666666666666666,2.0
TEST-000069-0033,2.5,1.0,1.0,2.0
TEST-000069-0034,2.5,2.0,0.6666666666666666,2.0
TEST-000069-0035,4.5,1.0,0.0,4.0
TEST-000069-0036,4.5,3.5,0.5,2.0
TEST-000069-0037,3.5,2.0,0.5,2.0
TEST-000069-0038,4.5,2.0,0.0,4.0
TEST-000069-0039,3.0,1.0,0.0,1.0
TEST-000069-0040,4.5,1.0,0.6666666666666666,2.0
TEST-000069-0041,3.5,1.0,1.0,0.0
TEST-000069-0042,2.5,4.5,1.0,0.0
TEST-000070-0001,1.0,1.0,1.0,0.0
TEST-000070-0002,2.0,1.0,4.5,5.0
TEST-000070-0003,2.5,3.0,4.0,5.0
TEST-000070-0004,2.0,3.0,4.0,1.0
TEST-000070-0005,1.0,3.0,2.0,1.0
TEST-000070-0006,1.0,3.0,1.0,1.0
TEST-000070-0007,3.0,3.333333333333333,5.0,1.0
TEST-000070-0008,1.0,1.0,1.0,0.0
TEST-000070-0009,4.0,1.0,2.0,3.0
TEST-000070-0010,2.0,3.0,2.0,1.0
TEST-000070-0011,5.0,3.0,5.0,1.0
TEST-000070-0012,2.5,1.0,2.0,1.0
TEST-000070-0013,5.0,3.0,4.75,3.0
TEST-000070-0014,3.0,1.0,1.0,1.0
TEST-000070-0015,3.5,3.0,4.5,4.5
TEST-000070-0016,1.0,1.0,2.0,0.0
TEST-000070-0017,4.5,3.0,4.5,1.0
TEST-000070-0018,1.5,1.0,2.0,1.0
TEST-000070-0019,3.5,4.666666666666667,5.0,5.0
TEST-000070-0020,1.0,1.0,0.0,0.0
TEST-000070-0021,3.0,4.333333333333333,2.0,1.0
TEST-000070-0022,2.0,2.0,2.0,2.0
TEST-000070-0023,2.0,3.0,5.0,5.0
TEST-000070-0024,1.0,3.0,2.0,4.0
TEST-000070-0025,2.5,4.0,5.0,5.0
TEST-000070-0026,1.0,1.0,2.0,0.0
TEST-000070-0027,2.0,3.0,5.0,5.0
TEST-000070-0028,1.0,1.0,2.0,1.0
TEST-000070-0029,3.0,3.0,5.0,4.0
TEST-000070-0030,1.0,1.0,2.0,1.0
TEST-000070-0031,3.5,4.333333333333333,4.75,4.5
TEST-000071-0001,3.75,4.333333333333333,3.0,1.0
TEST-000071-0002,3.5,4.0,4.5,2.0
TEST-000071-0003,3.25,3.0,0.8571428571428571,3.0
TEST-000072-0001,4.5,3.0,0.5,2.0
TEST-000073-0001,2.5,3.0,4.0,1.0
TEST-000074-0001,4.75,4.5,5.0,4.5
TEST-000074-0002,2.0,1.0,4.0,1.0
TEST-000074-0003,4.75,3.0,4.5,3.5
TEST-000074-0004,1.0,1.0,1.0,1.0
TEST-000074-0005,3.5,4.0,4.0,1.0
TEST-000074-0006,1.0,1.0,1.0,1.0
TEST-000074-0007,3.5,4.666666666666667,4.0,4.5
TEST-000074-0008,2.0,1.0,2.0,1.0
TEST-000074-0009,2.5,4.666666666666667,4.0,1.0
TEST-000074-0010,1.0,1.0,1.0,1.0
TEST-000074-0011,4.75,4.666666666666667,4.5,4.5
TEST-000074-0012,3.0,1.0,2.0,1.0
TEST-000074-0013,4.75,4.0,4.5,4.0
TEST-000074-0014,3.5,4.0,4.5,4.0
TEST-000074-0015,4.75,4.0,4.5,4.0
TEST-000074-0016,1.0,1.0,1.0,1.0
TEST-000074-0017,4.5,4.666666666666667,4.5,4.0
TEST-000074-0018,1.0,1.0,3.0,1.0
TEST-000074-0019,4.5,4.0,4.5,4.0
TEST-000074-0020,1.0,1.0,2.0,1.0
TEST-000074-0021,3.75,4.0,4.0,4.0
TEST-000074-0022,1.5,1.0,0.0,1.0
TEST-000074-0023,4.75,4.666666666666667,4.5,4.333333333333333
TEST-000074-0024,1.0,1.0,2.0,1.0
TEST-000074-0025,4.75,4.0,4.5,4.333333333333333
TEST-000074-0026,1.5,1.0,3.0,1.0
TEST-000074-0027,4.5,4.0,4.5,4.0
TEST-000074-0028,1.0,1.0,1.0,1.0
TEST-000074-0029,4.5,4.0,4.5,4.0
TEST-000075-0001,1.0,3.5,4.5,1.0
TEST-000076-0001,3.5,2.0,4.5,2.0
TEST-000077-0001,4.5,4.5,4.75,4.5
TEST-000077-0002,4.5,4.0,3.0,2.0
TEST-000077-0003,3.5,4.666666666666667,4.5,4.5
TEST-000077-0004,1.75,2.0,1.5,1.6666666666666667
TEST-000077-0005,4.5,4.666666666666667,4.75,4.5
TEST-000077-0006,1.0,4.666666666666667,1.0,1.0
TEST-000077-0007,3.5,4.666666666666667,4.0,4.666666666666667
TEST-000077-0008,3.5,4.0,3.0,1.0
TEST-000077-0009,4.75,4.666666666666667,4.0,4.666666666666667
TEST-000077-0010,1.0,4.0,4.5,1.0
TEST-000077-0011,4.5,4.666666666666667,4.5,4.5
TEST-000077-0012,3.5,4.666666666666667,3.5,1.0
TEST-000077-0013,4.5,4.666666666666667,4.5,4.666666666666667
TEST-000077-0014,4.5,4.5,4.75,4.5
TEST-000077-0015,4.75,4.5,4.75,4.5
TEST-000077-0016,3.5,2.0,1.0,2.0
TEST-000077-0017,4.5,4.5,4.0,4.5
TEST-000077-0018,4.5,4.5,3.5,4.0
TEST-000077-0019,4.5,4.5,4.75,4.5
TEST-000077-0020,1.75,2.0,1.5,4.0
TEST-000077-0021,4.75,4.5,4.75,4.333333333333333
TEST-000078-0001,3.0,2.5,4.0,1.0
TEST-000079-0001,3.0,1.0,5.0,1.0
TEST-000080-0001,5.0,1.0,5.0,5.0
TEST-000081-0001,3.0,0.5,0.0,0.0
TEST-000082-0001,2.0,1.0,3.5,1.0
TEST-000082-0002,1.5,2.5,3.5,1.0
TEST-000082-0003,2.5,3.0,3.5,1.0
TEST-000083-0001,5.0,3.0,5.0,5.0
TEST-000084-0001,2.0,3.0,3.5,3.5
TEST-000084-0002,3.25,4.5,4.5,4.5
TEST-000084-0003,2.25,1.0,0.8,0.2
TEST-000084-0004,3.25,2.5,0.8,3.0
TEST-000084-0005,3.5,1.0,1.0,0.0
TEST-000084-0006,3.5,2.0,1.0,4.0
TEST-000084-0007,3.5,4.5,4.5,4.5
TEST-000084-0008,3.25,3.5,4.0,3.5
TEST-000084-0009,2.5,1.0,1.0,2.0
TEST-000084-0010,3.25,1.0,1.0,3.0
TEST-000084-0011,2.0,1.0,0.5,1.0
TEST-000084-0012,4.5,3.0,1.0,4.0
TEST-000084-0013,2.5,1.0,1.0,1.0
TEST-000084-0014,2.5,1.0,1.0,1.0
TEST-000084-0015,4.5,1.0,1.0,4.0
TEST-000084-0016,4.5,3.5,1.0,4.0
TEST-000084-0017,1.0,1.0,0.0,1.0
TEST-000084-0018,1.0,1.0,0.0,1.0
TEST-000084-0019,1.0,1.0,0.0,1.0
TEST-000084-0020,2.0,3.0,1.0,1.0
TEST-000084-0021,1.0,1.0,0.0,1.0
TEST-000084-0022,4.5,4.5,1.0,4.0
TEST-000084-0023,1.0,1.0,1.0,1.0
TEST-000084-0024,1.5,1.0,0.0,1.0
TEST-000084-0025,2.0,1.0,1.0,3.0
TEST-000084-0026,1.0,1.0,1.0,5.0
TEST-000084-0027,2.0,1.0,0.0,2.0
TEST-000084-0028,2.0,1.0,0.0,2.0
TEST-000084-0029,3.0,1.0,1.0,5.0
TEST-000084-0030,4.5,4.5,1.0,4.5
TEST-000085-0001,4.0,2.5,4.0,3.5
TEST-000085-0002,4.5,2.5,4.5,3.0
TEST-000085-0003,4.5,3.5,4.75,5.0
TEST-000085-0004,3.5,2.0,4.5,2.0
TEST-000085-0005,4.5,1.0,4.75,1.0
TEST-000085-0006,2.0,1.0,1.0,1.0
TEST-000085-0007,4.5,3.0,5.0,2.0
TEST-000085-0008,2.0,2.0,4.5,1.0
TEST-000085-0009,3.5,2.5,5.0,1.0
TEST-000085-0010,2.0,2.0,4.0,1.0
TEST-000085-0011,4.5,3.5,4.75,3.0
TEST-000085-0012,2.0,2.0,3.0,1.0
TEST-000085-0013,4.5,3.5,4.75,4.5
TEST-000085-0014,2.0,2.0,2.0,1.0
TEST-000085-0015,2.0,2.0,2.0,1.0
TEST-000085-0016,2.0,2.0,3.0,1.0
TEST-000085-0017,4.5,3.0,4.0,3.5
TEST-000085-0018,3.0,3.0,4.75,2.0
TEST-000085-0019,4.5,3.5,4.75,3.75
TEST-000085-0020,1.0,2.0,2.0,1.0
TEST-000085-0021,3.5,3.5,3.5,2.0
TEST-000085-0022,3.0,2.5,4.5,2.0
TEST-000085-0023,3.5,3.5,4.75,3.5
TEST-000085-0024,3.5,2.5,4.5,1.0
TEST-000085-0025,4.5,3.5,4.75,4.75
TEST-000085-0026,2.0,2.0,3.5,1.0
TEST-000085-0027,4.5,3.5,4.5,3.5
TEST-000085-0028,3.5,2.5,3.5,1.0
TEST-000085-0029,4.5,3.5,4.75,4.5
TEST-000085-0030,3.0,2.0,5.0,1.0
TEST-000085-0031,3.0,3.0,4.75,5.0
TEST-000085-0032,2.0,1.0,5.0,1.0
TEST-000085-0033,2.0,1.0,5.0,1.0
TEST-000086-0001,1.0,2.0,3.0,1.0
TEST-000087-0001,4.0,2.5,4.5,3.0
TEST-000087-0002,1.0,2.0,2.5,1.0
TEST-000087-0003,4.5,3.5,4.5,4.5
TEST-000087-0004,2.5,1.0,4.5,1.0
TEST-000087-0005,4.25,1.0,4.5,2.0
TEST-000087-0006,1.0,1.0,2.5,1.0
TEST-000087-0007,3.5,3.0,1.0,3.0
TEST-000087-0008,1.0,5.0,1.0,1.0
TEST-000087-0009,3.5,2.0,0.0,2.0
TEST-000087-0010,2.0,1.0,0.0,1.0
TEST-000087-0011,4.5,3.0,1.0,4.0
TEST-000087-0012,3.5,1.0,1.0,4.0
TEST-000087-0013,4.5,3.0,1.0,4.0
TEST-000087-0014,4.5,1.0,1.0,4.0
TEST-000087-0015,4.5,3.0,1.0,5.0
TEST-000087-0016,2.5,4.0,0.0,1.0
TEST-000087-0017,4.5,3.0,0.0,4.0
TEST-000087-0018,4.5,3.5,1.0,4.0
TEST-000087-0019,4.5,3.0,1.0,4.0
TEST-000087-0020,3.0,3.0,1.0,4.0
TEST-000087-0021,4.5,4.0,1.0,4.5
TEST-000087-0022,2.0,1.0,0.0,1.0
TEST-000087-0023,4.5,1.0,0.0,4.0
TEST-000087-0024,2.0,1.0,1.0,2.0
TEST-000087-0025,4.5,3.5,1.0,4.5
TEST-000087-0026,4.0,1.0,1.0,4.0
TEST-000087-0027,4.5,1.0,1.0,5.0
TEST-000087-0028,5.0,1.0,1.0,5.0
TEST-000087-0029,4.5,1.0,1.0,5.0
TEST-000088-0001,2.5,3.0,4.0,5.0
TEST-000089-0001,2.0,1.0,1.0,1.0
TEST-000090-0001,1.0,1.0,4.5,2.0
TEST-000091-0001,4.5,4.0,4.5,5.0
TEST-000091-0002,1.0,2.0,2.0,1.0
TEST-000091-0003,3.5,4.0,4.5,1.0
TEST-000091-0004,1.0,1.0,3.0,1.0
TEST-000091-0005,2.5,4.5,4.5,1.0
TEST-000091-0006,1.5,3.0,3.5,1.0
TEST-000091-0007,4.5,4.5,4.5,1.0
TEST-000091-0008,1.0,3.0,1.0,1.0
TEST-000091-0009,4.5,4.5,4.0,3.0
TEST-000091-0010,1.0,2.0,1.0,1.0
TEST-000091-0011,1.0,4.5,3.5,1.0
TEST-000091-0012,1.0,1.0,1.0,2.0
TEST-000091-0013,4.5,4.0,1.0,4.5
TEST-000091-0014,1.5,4.0,0.8,4.5
TEST-000091-0015,4.75,4.0,4.5,4.5
TEST-000091-0016,1.0,5.0,0.0,1.0
TEST-000091-0017,2.5,4.25,4.5,3.0
TEST-000091-0018,1.0,2.0,3.0,1.0
TEST-000091-0019,3.5,4.5,4.5,3.5
TEST-000091-0020,1.0,1.0,0.0,2.0
TEST-000091-0021,3.5,4.0,1.0,4.5
TEST-000091-0022,3.0,4.0,1.0,4.5
TEST-000091-0023,4.75,4.0,1.0,4.5
TEST-000091-0024,3.0,0.0,0.0,0.0
TEST-000091-0025,4.75,4.0,4.5,4.5
TEST-000091-0026,1.0,1.0,0.0,1.0
TEST-000091-0027,4.75,4.333333333333333,1.0,4.5
TEST-000091-0028,1.0,1.0,1.0,1.0
TEST-000091-0029,3.5,4.0,1.0,4.5
TEST-000091-0030,3.5,4.0,1.0,4.5
TEST-000091-0031,4.75,4.0,1.0,4.5
TEST-000091-0032,2.5,0.0,0.0,0.0
TEST-000091-0033,4.75,4.5,4.5,4.5
TEST-000091-0034,4.75,4.5,1.0,4.5
TEST-000091-0035,4.75,4.333333333333333,4.5,4.5
TEST-000091-0036,2.0,0.0,0.0,2.0
TEST-000091-0037,4.75,4.5,4.5,4.5
TEST-000092-0001,2.5,4.5,4.5,3.0
TEST-000092-0002,2.5,3.0,4.5,1.0
TEST-000092-0003,3.5,3.0,0.5,3.0
TEST-000093-0001,2.0,3.0,3.5,3.5
TEST-000094-0001,4.5,2.0,0.8,4.0
TEST-000094-0002,4.75,4.5,0.8333333333333334,4.5
TEST-000094-0003,4.75,4.5,1.0,4.0
TEST-000095-0001,4.25,4.0,4.5,4.75
TEST-000096-0001,4.5,2.0,5.0,2.0
TEST-000097-0001,4.25,3.0,4.0,4.0
TEST-000098-0001,2.0,2.0,3.5,3.0
TEST-000099-0001,2.0,2.0,4.5,2.0
TEST-000099-0002,2.25,4.5,4.0,3.0
TEST-000099-0003,3.5,1.5,0.5,3.0
TEST-000099-0004,4.5,4.0,1.0,4.0
TEST-000099-0005,3.5,3.0,0.6,3.0
TEST-000099-0006,3.5,3.0,0.2,1.0
TEST-000099-0007,3.5,3.0,0.6666666666666666,1.0
TEST-000099-0008,3.5,3.5,0.1666666666666666,1.0
TEST-000099-0009,4.5,1.0,1.0,5.0
TEST-000099-0010,3.5,3.0,0.0,3.0
TEST-000099-0011,2.0,4.0,1.0,3.0
TEST-000099-0012,3.5,3.0,1.0,4.0
TEST-000099-0013,4.25,4.0,1.0,4.5
TEST-000099-0014,4.25,4.0,0.6666666666666666,4.0
TEST-000099-0015,4.0,1.0,1.0,3.0
TEST-000099-0016,4.25,3.0,0.6666666666666666,4.0
